tokens,tags,polarities
"['a', 'lot', 'of', 'scattered', 'paper', 'debris']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 0, 0, 0]"
"['quiet', 'enough', 'to', 'work', 'or', 'sleep']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['station', 'design', 'felt', 'old', 'fashioned']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['frequent', 'security', 'announcements', 'were', 'made']","[0, 1, 2, 0, 0]","[-1, 1, 1, -1, -1]"
"['train', 'had', 'a', 'typical', 'ambient', 'smell']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 1]"
"['people', 'ignored', 'safety', 'yellow', 'lines']","[1, 0, 0, 1, 2]","[0, -1, -1, -1, -1]"
"['people', 'ignored', 'safety', 'yellow', 'lines']","[1, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['train', 'jolted', 'violently', 'at', 'one', 'point']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['quick', 'and', 'painless', 'ticket', 'exchange']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['non', 'slip', 'floors', 'in', 'all', 'weather', 'conditions']","[0, 0, 1, 0, 0, 0, 0]","[-1, -1, 2, -1, -1, -1, -1]"
"['braille', 'on', 'signs', 'aided', 'navigation']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['standing', 'area', 'felt', 'quite', 'congested']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['guards', 'were', 'attentive', 'and', 'observant']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['train', 'felt', 'stuffy', 'due', 'to', 'overcrowding']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['station', 'design', 'felt', 'old', 'fashioned']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['seats', 'are', 'too', 'narrow', 'though']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['rubbish', 'was', 'properly', 'disposed', 'of']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['ambient', 'noise', 'levels', 'were', 'low']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['dust', 'was', 'evident', 'on', 'signage']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['train', 'had', 'a', 'faint', 'pleasant', 'aroma']","[0, 0, 0, 0, 0, 2]","[-1, -1, -1, -1, -1, 2]"
"['some', 'dust', 'was', 'seen', 'but', 'not', 'too', 'bad']","[0, 1, 0, 0, 0, 0, 0, 0]","[-1, 1, -1, -1, -1, -1, -1, -1]"
"['leg', 'space', 'was', 'surprisingly', 'generous']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['gentle', 'train', 'acceleration', 'was', 'good']","[0, 2, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['secure', 'and', 'sturdy', 'barriers', 'along', 'tracks']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
"['uncomfortable', 'level', 'of', 'train', 'vibration']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['no', 'grease', 'on', 'any', 'buttons']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['turnstiles', 'were', 'slow', 'to', 'respond']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['overall', 'ride', 'comfort', 'is', 'excellent']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['station', 'corners', 'needed', 'good', 'scrub']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['some', 'minor', 'spills', 'near', 'the', 'doorway']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 1]"
"['rubbish', 'had', 'clearly', 'been', 'there', 'awhile']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['train', 'had', 'a', 'damp', 'smell']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['clearly', 'marked', 'no', 'smoking', 'zones']","[0, 0, 1, 2, 2]","[-1, -1, 2, 2, 2]"
"['quiet', 'and', 'very', 'smooth', 'travel']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['poor', 'communication', 'about', 'track', 'changes']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['gentle', 'acceleration', 'and', 'braking', '.']","[0, 1, 0, 1, 0]","[-1, 2, -1, -1, -1]"
"['gentle', 'acceleration', 'and', 'braking', '.']","[0, 1, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['platform', 'safety', 'barriers', 'worked', 'perfectly']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['no', 'significant', 'dust', 'accumulation', 'was', 'seen']","[0, 0, 1, 2, 0, 0]","[-1, -1, 1, 1, -1, -1]"
"['clear', 'and', 'abundant', 'station', 'signposts']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['information', 'accuracy', 'was', 'generally', 'acceptable']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['good', 'suspension', 'system', 'on', 'train']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['seat', 'was', 'lumpy', 'and', 'uneven']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['fire', 'safety', 'gear', 'looked', 'modern']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['felt', 'uneasy', 'with', 'the', 'lack', 'of', 'patrols']","[0, 0, 0, 0, 1, 2, 2]","[-1, -1, -1, -1, 0, 0, 0]"
"['general', 'upkeep', 'of', 'station', 'was', 'adequate']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['sparkling', 'clean', 'platform', 'edges', 'visible']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['information', 'screens', 'were', 'not', 'working']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['more', 'shelter', 'needed', 'at', 'platform']","[0, 1, 0, 0, 2]","[-1, 0, -1, -1, 0]"
"['some', 'corridors', 'were', 'too', 'dimly', 'lit']","[0, 1, 0, 0, 0, 0]","[-1, 0, -1, -1, -1, -1]"
"['seats', 'provided', 'poor', 'lower', 'back', 'support']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['staff', 'were', 'proactive', 'in', 'offering', 'help']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['no', 'dust', 'on', 'the', 'platform', 'benches']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['overall', 'trip', 'was', 'extremely', 'placid']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['really', 'comfortable', 'new', 'seats']","[0, 0, 0, 1]","[-1, -1, -1, 2]"
"['enjoyed', 'the', 'peaceful', 'commute', 'today']","[0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['door', 'operation', 'was', 'smooth', 'and', 'safe']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['helpline', 'operator', 'was', 'not', 'listening']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['staff', 'showed', 'genuine', 'concern', 'always']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['stairs', 'felt', 'narrow', 'and', 'steep']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['no', 'visible', 'stains', 'on', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['asked', 'for', 'help', 'and', 'got', 'basic', 'info']","[0, 0, 1, 0, 0, 0, 0]","[-1, -1, 1, -1, -1, -1, -1]"
"['more', 'recycling', 'bins', 'are', 'needed']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['found', 'old', 'food', 'under', 'bench']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['smelled', 'faintly', 'of', 'old', 'trash']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['station', 'signage', 'was', 'clear', 'and', 'helpful']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['station', 'floor', 'condition', 'was', 'just', 'average']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['some', 'dark', 'alleys', 'near', 'station']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['very', 'little', 'side', 'to', 'side', 'movement']","[0, 0, 1, 2, 2, 2]","[-1, -1, 2, 2, 2, 2]"
"['smelled', 'pleasantly', 'of', 'lavender', 'or', 'something']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['some', 'leftover', 'drink', 'bottles', 'around']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['handrails', 'felt', 'loose', 'and', 'wobbly']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['spacious', 'interiors', 'felt', 'very', 'nice']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['customer', 'service', 'hotline', 'rang', 'unanswered']","[1, 2, 2, 0, 0]","[0, 0, 0, -1, -1]"
"['not', 'enough', 'grab', 'handles', 'around']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['unreported', 'spill', 'was', 'a', 'slip', 'hazard']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['aircondd', 'was', 'making', 'a', 'strange', 'whine']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['station', 'felt', 'very', 'safe', 'and', 'orderly']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['wifi', 'connection', 'kept', 'dropping', 'out']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['train', 'was', 'clean', 'but', 'smelled', 'a', 'bit', 'off']","[1, 0, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1, -1]"
"['water', 'coolers', 'dispensed', 'clean', 'water']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['visible', 'neglect', 'in', 'corner', 'areas']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['internal', 'lighting', 'was', 'too', 'harsh']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['staff', 'were', 'very', 'understanding', 'of', 'my', 'situation']","[1, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1]"
"['trash', 'was', 'overflowing', 'from', 'some', 'bins']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['quick', 'and', 'painless', 'ticket', 'exchange']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['rubbish', 'was', 'cleared', 'away', 'promptly']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['misleading', 'train', 'schedule', 'information', '.']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['daily', 'cleaning', 'is', 'very', 'evident']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['pleasant', 'lack', 'of', 'loud', 'chatter']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'visible', 'grime', 'on', 'handstraps']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['good', 'visibility', 'across', 'the', 'platform']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['the', 'carriage', 'was', 'too', 'humid']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['excellent', 'standard', 'of', 'public', 'area', 'cleaning']","[0, 0, 0, 1, 2, 2]","[-1, -1, -1, 2, 2, 2]"
"['general', 'state', 'of', 'cleanliness', 'was', 'observed']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['children', 'playing', 'near', 'the', 'tracks']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['vending', 'machines', 'were', 'mostly', 'empty']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['constant', 'security', 'patrols', 'were', 'seen']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['public', 'address', 'system', 'was', 'too', 'quiet']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['escalators', 'had', 'frequent', 'unscheduled', 'stops']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['long', 'queue', 'for', 'a', 'simple', 'query']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['escalator', 'moved', 'smoothly', 'and', 'quietly']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['vending', 'machines', 'are', 'well', 'stocked']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['discarded', 'bottles', 'left', 'on', 'ground']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['overall', 'hygiene', 'level', 'was', 'satisfactory']","[0, 1, 2, 0, 0]","[-1, 1, 1, -1, -1]"
"['escalators', 'often', 'under', 'maintenance', 'sadly']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['refund', 'took', 'far', 'too', 'long']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['train', 'felt', 'a', 'bit', 'claustrophobic']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['seat', 'pitch', 'was', 'generous', 'enough']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'dust', 'on', 'the', 'seats']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['suspicious', 'activity', 'noted', 'near', 'exit']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['got', 'assistance', 'after', 'waiting', 'a', 'bit']","[0, 1, 0, 0, 0, 0]","[-1, 1, -1, -1, -1, -1]"
"['very', 'good', 'general', 'station', 'cleanliness']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'visible', 'streaks', 'on', 'any', 'metalwork']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['consistent', 'and', 'ideal', 'carriage', 'atmosphere']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['overall', 'station', 'area', 'was', 'very', 'clean']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['air', 'in', 'station', 'felt', 'very', 'clean']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['train', 'was', 'not', 'cleaned', 'properly']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['ticketing', 'was', 'handled', 'in', 'routine', 'manner']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['broken', 'escalator', 'step', 'was', 'a', 'danger']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['helpline', 'had', 'a', 'very', 'long', 'wait']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['lighting', 'in', 'toilets', 'was', 'too', 'dim']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['platform', 'was', 'spacious', 'even', 'when', 'busy']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['superb', 'customer', 'interaction', 'skills', 'shown']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['quick', 'ticket', 'assistance', 'was', 'great']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['safety', 'barriers', 'on', 'platforms', 'good']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['courteous', 'treatment', 'from', 'every', 'employee']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['cracked', 'tile', 'on', 'station', 'stairway']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['ticket', 'barriers', 'worked', 'very', 'smoothly']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['nothing', 'unsafe', 'noticed']","[0, 1, 0]","[-1, 1, -1]"
"['many', 'charging', 'stations', 'for', 'phones']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['no', 'assistance', 'offered', 'with', 'heavy', 'luggage']","[0, 1, 0, 0, 0, 0]","[-1, 0, -1, -1, -1, -1]"
"['many', 'ticket', 'machines', 'were', 'out', 'of', 'service']","[0, 1, 2, 0, 0, 0, 0]","[-1, 0, 0, -1, -1, -1, -1]"
"['impressed', 'by', 'the', 'overall', 'tidiness']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['train', 'announcements', 'were', 'very', 'precise']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['no', 'dust', 'on', 'any', 'ledges']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['children', 'playing', 'near', 'the', 'tracks']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['poor', 'attitude', 'from', 'the', 'cashier']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['always', 'a', 'good', 'experience', 'with', 'service']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 2]"
"['unacceptable', 'service', 'level', 'at', 'ticket', 'office']","[0, 1, 2, 0, 1, 2]","[-1, 0, 0, -1, 0, 0]"
"['some', 'old', 'drink', 'cartons', 'lying', 'around']","[0, 1, 2, 2, 0, 0]","[-1, 0, 0, 0, -1, -1]"
"['train', 'doors', 'sometimes', 'jammed', 'slightly']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['overall', 'tidiness', 'was', 'not', 'up', 'to', 'par']","[0, 1, 0, 0, 0, 0, 0]","[-1, 0, -1, -1, -1, -1, -1]"
"['secure', 'grab', 'bars', 'for', 'all', 'passengers']","[1, 2, 2, 0, 0, 0]","[2, 2, 2, -1, -1, -1]"
"['platform', 'design', 'allowed', 'easy', 'boarding']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['overall', 'comfort', 'was', 'surprisingly', 'good']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['website', 'support', 'chat', 'was', 'not', 'helpful']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['attentive', 'staff', 'at', 'the', 'entry', 'gates']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['guards', 'maintained', 'a', 'strong', 'presence']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['suspicious', 'individuals', 'loitering', 'near', 'entrance']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['cabin', 'air', 'was', 'pleasantly', 'circulated']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['very', 'few', 'bins', 'for', 'recycling']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['exceptionally', 'clean', 'conditions', 'this', 'time']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['facility', 'layout', 'was', 'common']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['station', 'facilities', 'looked', 'very', 'worn']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['enjoyable', 'ride', 'with', 'no', 'major', 'issues']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['platform', 'shelter', 'was', 'adequate', 'good']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['floor', 'tiles', 'were', 'loose', 'hazardous']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'one', 'available', 'at', 'help', 'point']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['the', 'carriage', 'was', 'unpleasantly', 'cold']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['always', 'a', 'very', 'positive', 'service', 'experience']","[0, 0, 0, 0, 1, 0]","[-1, -1, -1, -1, 2, -1]"
"['no', 'food', 'scraps', 'under', 'benches']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['info', 'displays', 'were', 'often', 'frozen']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['station', 'appeared', 'moderately', 'clean']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['train', 'cabins', 'were', 'freshly', 'cleaned']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['abrupt', 'train', 'braking', 'was', 'a', 'problem']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['impressed', 'by', 'the', 'spotless', 'toilets']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['broken', 'lifts', 'caused', 'much', 'delay']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['train', 'felt', 'old', 'and', 'lacked', 'comfort']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['legroom', 'was', 'a', 'bit', 'cramped']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['station', 'signage', 'was', 'clear', 'helpful']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['comfortable', 'journey', 'from', 'start', 'finish']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['old', 'food', 'containers', 'left', 'behind']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['staff', 'seemed', 'completely', 'disinterested', 'in', 'customers']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['station', 'was', 'visibly', 'much', 'cleaner', 'now']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['uneven', 'platform', 'surface', 'is', 'risky']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['lost', 'and', 'found', 'clearly', 'signposted']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['excellent', 'upkeep', 'of', 'station', 'floors']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['handrails', 'were', 'noticeably', 'clean', 'today']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['windows', 'seemed', 'fine', 'not', 'too', 'clean', 'or', 'dirty']","[1, 0, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1, -1]"
"['seat', 'armrests', 'felt', 'greasy', 'to', 'touch']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['braille', 'on', 'signs', 'aided', 'navigation']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['bicycle', 'parking', 'felt', 'unsafe', 'exposed']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['felt', 'the', 'train', 'sway', 'noticeably']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['uneven', 'steps', 'were', 'a', 'real', 'danger']","[0, 1, 0, 0, 0, 0]","[-1, 0, -1, -1, -1, -1]"
"['hard', 'to', 'get', 'anyone', 'attention']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['felt', 'a', 'bit', 'too', 'warm', 'and', 'humid']","[0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, -1, -1, -1, -1]"
"['website', 'information', 'is', 'not', 'current']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['emergency', 'protocols', 'were', 'well', 'explained']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['safety', 'rules', 'displayed', 'prominently', 'good']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['difficult', 'to', 'communicate', 'with', 'attendant']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['impressed', 'by', 'overall', 'station', 'appearance']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['well-maintained', 'emergency', 'lighting', 'system', '.']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['comfortable', 'waiting', 'areas', 'with', 'seats']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['trains', 'are', 'always', 'very', 'clean']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['poor', 'attitude', 'from', 'the', 'cashier']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['staff', 'seemed', 'genuinely', 'happy', 'to', 'be', 'there']","[1, 0, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1, -1]"
"['smell', 'was', 'not', 'strong', 'or', 'bad']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['vending', 'machines', 'are', 'well', 'stocked']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['prayer', 'facility', 'was', 'peaceful', 'clean']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['well', 'maintained', 'and', 'accessible', 'first', 'aid', 'kits']","[0, 0, 0, 0, 1, 2, 2]","[-1, -1, -1, -1, 2, 2, 2]"
"['always', 'receive', 'friendly', 'efficient', 'service']","[0, 0, 0, 0, 2]","[-1, -1, -1, -1, 2]"
"['air', 'quality', 'inside', 'was', 'excellent']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['air', 'circulation', 'seemed', 'a', 'bit', 'lacking']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['toilet', 'area', 'was', 'quite', 'unhygienic']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['felt', 'safe', 'from', 'any', 'harassment']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['uncomfortable', 'amount', 'of', 'shaking', 'felt']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['escalator', 'maintenance', 'notices', 'were', 'posted']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['security', 'seems', 'as', 'expected']","[1, 0, 0, 0]","[1, -1, -1, -1]"
"['fire', 'drills', 'seemed', 'to', 'be', 'practiced']","[1, 2, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1]"
"['seat', 'fabric', 'was', 'soft', 'and', 'inviting']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['no', 'seating', 'available', 'while', 'waiting']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['automated', 'phone', 'tree', 'was', 'a', 'nightmare']","[1, 2, 2, 0, 0, 0]","[0, 0, 0, -1, -1, -1]"
"['excellent', 'station', 'presentation', 'very', 'tidy']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['waiting', 'areas', 'were', 'cold', 'drafty']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'visible', 'dirt', 'anywhere', 'today']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['always', 'receive', 'friendly', 'efficient', 'service']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['generally', 'untidy', 'appearance', 'of', 'station']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['safety', 'briefings', 'were', 'played', 'often']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['disabled', 'access', 'ramps', 'met', 'requirements']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['vending', 'machines', 'offered', 'healthy', 'snacks']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
